Beginning CellID,Mother_CellID,Child1_CellID,Child2_CellID,Life of mother in t,the name of the Beginning cell,fate 1 of the Beginning cell,fate 2 of the Beginning cell,fate 3 of the Begining cell
10002,30002,40002,40003,3,a7.0003*,"1st Lineage, Notochord",Mesoderm 1 Notochord,"1st Lineage, Notochord"
10003,260004,270004,270005,26,a8.0007_,Posterior Ventral Neural Plate,0,0
10004,20004,30004,30005,2,a7.0007*,"1st Lineage, Notochord",Mesoderm 1 Notochord,"1st Lineage, Notochord"
10005,310008,320008,320009,31,a8.0015*,Posterior Lateral Neural Plate,Lateral Neural Plate,Posterior Lateral Neural Plate
10006,310009,320010,320011,31,a8.0016*,0,0,0
10007,100009,110009,110010,10,a7.0009*,Anterior Ventral Neural Plate,Anterior + Dorsal Neural Plate,Anterior Ventral Neural Plate
10008,10008,20008,20009,1,a7.0003_,"1st Lineage, Notochord",Mesoderm 1 Notochord,"1st Lineage, Notochord"
10009,110013,120013,120014,11,a7.0010*,Anterior Ventral Neural Plate,Anterior + Dorsal Neural Plate,Anterior Ventral Neural Plate
10010,70013,80013,80014,7,a7.0010_,Anterior Ventral Neural Plate,Anterior + Dorsal Neural Plate,Anterior Ventral Neural Plate
10011,280018,290018,290019,28,a8.0008_,Posterior Ventral Neural Plate,0,0
10012,80016,90016,90017,8,a7.0013*,Anterior Dorsal Neural Plate,Lateral Neural Plate,Anterior Dorsal Neural Plate
10013,280021,290022,290023,28,a7.0002*,Anterior Head Endoderm,Anterior Endoderm,Head Endoderm
10014,70017,80018,80019,7,b7.0010*,0,0,0
10016,60018,70018,70019,6,b7.0009*,0,0,0
10017,90023,100023,100024,9,a7.0011*,Head Epidermis,Trunk Epidermis,Head Epidermis
10018,70021,80023,80024,7,a7.0009_,Anterior Ventral Neural Plate,Anterior + Dorsal Neural Plate,Anterior Ventral Neural Plate
10019,260029,270030,270031,26,a7.0002_,Anterior Head Endoderm,Anterior Endoderm,Head Endoderm
10020,80026,90027,90028,8,a7.0006*,Trunk Lateral Cell,Mesoderm Trunk Lateral Cell,Trunk Lateral Cell
10021,430054,440058,440059,43,a8.0013_,"1st Lineage, Notochord",0,0
10023,340041,350042,350043,34,b8.0006*,"2nd Lineage, Notochord",Mesoderm 2 Notochord,"2nd Lineage, Notochord"
