Beginning CellID,Mother_CellID,Child1_CellID,Child2_CellID,Life of mother in t,the name of the Beginning cell,fate 1 of the Beginning cell,fate 2 of the Beginning cell,fate 3 of the Begining cell
650136,880230,0,0,24,a10.0093*,Head Epidermis,Trunk Epidermis,Head Epidermis
650197,880341,0,0,24,b10.0114*,Lateral Tail Epidermis,Lateral Tail Epidermis,Tail Epidermis
650198,880342,0,0,24,b10.0113*,Lateral Tail Epidermis,Lateral Tail Epidermis,Tail Epidermis
650212,880365,0,0,24,a10.0095_,Head Epidermis,Trunk Epidermis,Head Epidermis
650213,880366,0,0,24,a10.0096_,Head Epidermis,Trunk Epidermis,Head Epidermis
650225,880385,0,0,24,a10.0028*,Posterior Ventral Neural Plate,Posterior ventral Neural Plate,Posterior Ventral Neural Plate
650226,880386,0,0,24,a10.0027*,Posterior Ventral Neural Plate,Posterior ventral Neural Plate,Posterior Ventral Neural Plate
660041,880063,0,0,23,a10.0032*,Posterior Ventral Neural Plate,Posterior ventral Neural Plate,Posterior Ventral Neural Plate
660042,880064,0,0,23,b10.0107_,Posterior Ventral Neural Plate,Posterior ventral Neural Plate,Posterior Ventral Neural Plate
660073,880116,0,0,23,b10.0088_,Lateral Tail Epidermis,Lateral Tail Epidermis,Tail Epidermis
660074,880117,0,0,23,b10.0087_,Lateral Tail Epidermis,Lateral Tail Epidermis,Tail Epidermis
660075,880118,0,0,23,a10.0081_,Head Epidermis,Trunk Epidermis,Head Epidermis
660076,880119,0,0,23,a10.0082_,Head Epidermis,Trunk Epidermis,Head Epidermis
660077,880120,0,0,23,a10.0083_,Head Epidermis,Trunk Epidermis,Head Epidermis
660078,880121,0,0,23,a10.0084_,Head Epidermis,Trunk Epidermis,Head Epidermis
660110,880173,0,0,23,a10.0085*,Head Epidermis,Trunk Epidermis,Head Epidermis
660111,880174,0,0,23,a10.0086*,Head Epidermis,Trunk Epidermis,Head Epidermis
660121,880191,0,0,23,a10.0091_,Head Epidermis,Trunk Epidermis,Head Epidermis
660122,880192,0,0,23,a10.0092_,Head Epidermis,Trunk Epidermis,Head Epidermis
660140,880227,0,0,23,b10.0116_,Lateral Tail Epidermis,Lateral Tail Epidermis,Tail Epidermis
660141,880228,0,0,23,b10.0115_,Lateral Tail Epidermis,Lateral Tail Epidermis,Tail Epidermis
660144,880231,0,0,23,a10.0096*,Head Epidermis,Trunk Epidermis,Head Epidermis
660145,880232,0,0,23,a10.0095*,Head Epidermis,Trunk Epidermis,Head Epidermis
660147,880235,0,0,23,a10.0092*,Head Epidermis,Trunk Epidermis,Head Epidermis
660148,880236,0,0,23,a10.0091*,Head Epidermis,Trunk Epidermis,Head Epidermis
660185,880300,0,0,23,b10.0105*,Midline Tail Epidermis,Midline Tail Epidermis,Tail Epidermis
660186,880301,0,0,23,b10.0106*,Midline Tail Epidermis,Midline Tail Epidermis,Tail Epidermis
660191,880310,0,0,23,a10.0121*,Head Epidermis,Trunk Epidermis,Head Epidermis
660192,880311,0,0,23,a10.0122*,Head Epidermis,Trunk Epidermis,Head Epidermis
660195,880315,0,0,23,a10.0114*,Head Epidermis,Trunk Epidermis,Head Epidermis
660196,880316,0,0,23,a10.0113*,Head Epidermis,Trunk Epidermis,Head Epidermis
660216,880351,0,0,23,b10.0101*,Lateral Tail Epidermis,Lateral Tail Epidermis,Tail Epidermis
660217,880352,0,0,23,b10.0102*,Lateral Tail Epidermis,Lateral Tail Epidermis,Tail Epidermis
660218,880353,0,0,23,b10.0103*,Lateral Tail Epidermis,Lateral Tail Epidermis,Tail Epidermis
660219,880354,0,0,23,b10.0104*,Lateral Tail Epidermis,Lateral Tail Epidermis,Tail Epidermis
660221,880357,0,0,23,b10.0099*,Lateral Tail Epidermis,Lateral Tail Epidermis,Tail Epidermis
660222,880358,0,0,23,b10.0100*,Lateral Tail Epidermis,Lateral Tail Epidermis,Tail Epidermis
660227,880363,0,0,23,a10.0093_,Head Epidermis,Trunk Epidermis,Head Epidermis
660228,880364,0,0,23,a10.0094_,Head Epidermis,Trunk Epidermis,Head Epidermis
660239,880379,0,0,23,a10.0089_,Head Epidermis,Trunk Epidermis,Head Epidermis
660240,880380,0,0,23,a10.0090_,Head Epidermis,Trunk Epidermis,Head Epidermis
670070,880112,0,0,22,b10.0083_,Medio-Lateral Tail Epidermis,Mediolateral Tail Epidermis,Tail Epidermis
670071,880113,0,0,22,b10.0084_,Medio-Lateral Tail Epidermis,Mediolateral Tail Epidermis,Tail Epidermis
670098,880151,0,0,22,a10.0109_,Head Epidermis,Trunk Epidermis,Head Epidermis
670099,880152,0,0,22,a10.0110_,Head Epidermis,Trunk Epidermis,Head Epidermis
670100,880153,0,0,22,a10.0111_,Head Epidermis,Trunk Epidermis,Head Epidermis
670101,880154,0,0,22,a10.0112_,Head Epidermis,Trunk Epidermis,Head Epidermis
670115,880175,0,0,22,a10.0088*,Head Epidermis,Trunk Epidermis,Head Epidermis
670116,880176,0,0,22,a10.0087*,Head Epidermis,Trunk Epidermis,Head Epidermis
670139,880217,0,0,22,a10.0117_,Head Epidermis,Trunk Epidermis,Head Epidermis
670140,880218,0,0,22,a10.0118_,Head Epidermis,Trunk Epidermis,Head Epidermis
670142,880221,0,0,22,b10.0117_,Lateral Tail Epidermis,Lateral Tail Epidermis,Tail Epidermis
670143,880222,0,0,22,b10.0118_,Lateral Tail Epidermis,Lateral Tail Epidermis,Tail Epidermis
670145,880225,0,0,22,b10.0114_,Lateral Tail Epidermis,Lateral Tail Epidermis,Tail Epidermis
670146,880226,0,0,22,b10.0113_,Lateral Tail Epidermis,Lateral Tail Epidermis,Tail Epidermis
670153,880233,0,0,22,a10.0089*,Head Epidermis,Trunk Epidermis,Head Epidermis
670154,880234,0,0,22,a10.0090*,Head Epidermis,Trunk Epidermis,Head Epidermis
670171,880263,0,0,22,a10.0121_,Head Epidermis,Trunk Epidermis,Head Epidermis
670172,880264,0,0,22,a10.0122_,Head Epidermis,Trunk Epidermis,Head Epidermis
670173,880265,0,0,22,a10.0123_,Head Epidermis,Trunk Epidermis,Head Epidermis
670174,880266,0,0,22,a10.0124_,Head Epidermis,Trunk Epidermis,Head Epidermis
670176,880269,0,0,22,a10.0127_,Head Epidermis,Trunk Epidermis,Head Epidermis
670177,880270,0,0,22,a10.0128_,Head Epidermis,Trunk Epidermis,Head Epidermis
670190,700220,710227,710336,4,b10.0093*,Lateral Tail Epidermis,Mediolateral Tail Epidermis,Tail Epidermis
670201,880308,0,0,22,a10.0123*,Head Epidermis,Trunk Epidermis,Head Epidermis
670202,880309,0,0,22,a10.0124*,Head Epidermis,Trunk Epidermis,Head Epidermis
670205,880312,0,0,22,a10.0127*,Head Epidermis,Trunk Epidermis,Head Epidermis
670206,880408,0,0,22,a10.0128*,Head Epidermis,Trunk Epidermis,Head Epidermis
670207,880313,0,0,22,a10.0125*,Head Epidermis,Trunk Epidermis,Head Epidermis
670208,880314,0,0,22,a10.0126*,Head Epidermis,Trunk Epidermis,Head Epidermis
670211,880317,0,0,22,a10.0113_,Head Epidermis,Trunk Epidermis,Head Epidermis
670212,880318,0,0,22,a10.0116*,Head Epidermis,Trunk Epidermis,Head Epidermis
670222,880337,0,0,22,b10.0117*,Lateral Tail Epidermis,Lateral Tail Epidermis,Tail Epidermis
670223,880338,0,0,22,b10.0118*,Lateral Tail Epidermis,Lateral Tail Epidermis,Tail Epidermis
