Beginning CellID,Mother_CellID,Child1_CellID,Child2_CellID,Life of mother in t,the name of the Beginning cell,fate 1 of the Beginning cell,fate 2 of the Beginning cell,fate 3 of the Begining cell
2,10002,20002,20003,2,a6.0005_,Anterior Ventral Neural Plate,0,Anterior Ventral Neural Plate
3,10003,20004,20005,2,a6.0007_,0,0,0
4,120006,130006,130007,13,a7.0008_,0,0,0
5,150008,160008,160009,16,a7.0004_,Posterior Ventral Neural Plate,Posterior ventral Neural Plate,Posterior Ventral Neural Plate
6,150009,160010,160011,16,a7.0007_,"1st Lineage, Notochord",Mesoderm 1 Notochord,"1st Lineage, Notochord"
7,220012,230012,230013,23,a7.0006_,Trunk Lateral Cell,Mesoderm Trunk Lateral Cell,Trunk Lateral Cell
8,460021,470020,470021,47,a7.0002_,Anterior Head Endoderm,Anterior Endoderm,Head Endoderm
9,240015,250016,250017,25,b7.0010_,0,0,0
10,10010,20012,20013,2,a6.0006_,Head Epidermis,0,Head Epidermis
11,220017,230018,230019,23,b7.0009_,0,0,0
12,230020,240020,240021,24,a7.0010*,Anterior Ventral Neural Plate,Anterior + Dorsal Neural Plate,Anterior Ventral Neural Plate
13,130017,140017,140018,14,a7.0004*,Posterior Ventral Neural Plate,Posterior ventral Neural Plate,Posterior Ventral Neural Plate
14,450127,460132,460133,46,a7.0005_,Anterior Head Endoderm,Anterior Endoderm,Head Endoderm
15,150078,160082,160083,16,a7.0003_,"1st Lineage, Notochord",Mesoderm 1 Notochord,"1st Lineage, Notochord"
16,130020,140021,140022,14,b7.0003_,0,0,0
17,230026,240026,240027,24,b7.0012_,0,0,Tail Epidermis
18,130022,140024,140025,14,b7.0004_,"1st Lineage, Tail Muscle",Mesoderm First Muscle,"1st Lineage, Tail Muscle"
19,510049,520052,520053,52,a7.0001_,Anterior Head Endoderm,Anterior Endoderm,Head Endoderm
20,400039,410039,410040,41,a7.0002*,Anterior Head Endoderm,Anterior Endoderm,Head Endoderm
21,240032,250033,250034,25,b7.0011_,0,0,Tail Epidermis
22,30026,40026,40027,4,a6.0008_,Head Epidermis,0,Head Epidermis
24,10025,20029,20030,2,a6.0006*,Head Epidermis,0,Head Epidermis
25,240037,250040,250041,25,a7.0009*,Anterior Ventral Neural Plate,Anterior + Dorsal Neural Plate,Anterior Ventral Neural Plate
26,150033,160035,160036,16,a7.0003*,"1st Lineage, Notochord",Mesoderm 1 Notochord,"1st Lineage, Notochord"
27,460062,470064,470065,47,b7.0001_,Posterior Head Endoderm,Posterior Endoderm,Head Endoderm
28,450061,460063,460064,46,a7.0001*,Anterior Head Endoderm,Anterior Endoderm,Head Endoderm
30,140039,150038,150039,15,a7.0007*,"1st Lineage, Notochord",Mesoderm 1 Notochord,"1st Lineage, Notochord"
31,490073,0,0,50,b7.0007_,Mesenchyme,Mesoderm Mesenchyme,Mesenchyme
32,110037,120037,120038,12,a7.0008*,0,0,0
33,10033,20039,20040,2,b6.0008_,0,0,0
34,200048,210049,210050,21,b7.0008_,"1st Lineage, Tail Muscle",Mesoderm First Muscle,"1st Lineage, Tail Muscle"
35,430069,440069,440070,44,a7.0005*,Anterior Head Endoderm,Anterior Endoderm,Head Endoderm
37,380068,390068,390069,39,b7.0002_,0,Posterior Endoderm,0
38,10039,20046,20047,2,b6.0007_,0,0,0
39,380114,390116,390117,39,b7.0001*,Posterior Head Endoderm,Posterior Endoderm,Head Endoderm
40,240058,250063,250064,25,a7.0013*,Anterior Dorsal Neural Plate,Lateral Neural Plate,Anterior Dorsal Neural Plate
41,41,10043,10044,1,a6.0008*,Head Epidermis,0,Head Epidermis
42,450090,460093,460094,46,b7.0005_,Trunk Ventral Cell,Mesoderm Trunk ventral Cell,Trunk Ventral Cell
44,210060,220061,220062,22,a7.0006*,Trunk Lateral Cell,Mesoderm Trunk Lateral Cell,Trunk Lateral Cell
45,210061,220063,220064,22,b7.0010*,0,0,0
46,330082,340082,340083,34,b7.0002*,0,Posterior Endoderm,0
