Beginning CellID,Mother_CellID,Child1_CellID,Child2_CellID,Life of mother in t,the name of the Beginning cell,fate 1 of the Beginning cell,fate 2 of the Beginning cell,fate 3 of the Begining cell
3,20002,30002,30003,3,b6.0007*,0,0,0
4,110004,0,0,12,b7.0008*,"1st Lineage, Tail Muscle",Mesoderm First Muscle,"1st Lineage, Tail Muscle"
5,110005,0,0,12,b7.0005*,Trunk Ventral Cell,Mesoderm Trunk ventral Cell,Trunk Ventral Cell
6,10005,20005,20006,2,b6.0003_,0,0,0
7,20007,30008,30009,3,b6.0006*,0,0,0
8,20008,30010,30011,3,b6.0007_,0,0,0
9,110012,0,0,12,b7.0007*,Mesenchyme,Mesoderm Mesenchyme,Mesenchyme
10,20010,30013,30014,3,b6.0008*,0,0,0
11,110015,0,0,12,b7.0006*,Germ Line,germ line,Germ Line
12,150016,160016,160017,16,b7.0004*,"1st Lineage, Tail Muscle",Mesoderm First Muscle,"1st Lineage, Tail Muscle"
13,250030,260031,260032,26,b7.0008_,"1st Lineage, Tail Muscle",Mesoderm First Muscle,"1st Lineage, Tail Muscle"
14,10013,20014,20015,2,b6.0005*,0,0,0
15,20016,30020,30021,3,b6.0008_,0,0,0
16,300041,310041,310042,31,b7.0002*,0,Posterior Endoderm,0
17,140023,150023,150024,15,b7.0003*,0,0,0
18,370044,380046,380047,38,b7.0007_,Mesenchyme,Mesoderm Mesenchyme,Mesenchyme
19,240038,250043,250044,25,b7.0002_,0,Posterior Endoderm,0
20,20021,30026,30027,3,a6.0008*,Head Epidermis,0,Head Epidermis
22,230033,240041,240042,24,a7.0006*,Trunk Lateral Cell,Mesoderm Trunk Lateral Cell,Trunk Lateral Cell
23,30029,40029,40030,4,a6.0007*,0,0,0
27,150032,160033,160034,16,b7.0004_,"1st Lineage, Tail Muscle",Mesoderm First Muscle,"1st Lineage, Tail Muscle"
28,360059,370061,370062,37,b7.0001*,Posterior Head Endoderm,Posterior Endoderm,Head Endoderm
29,30032,40033,40034,4,a6.0008_,Head Epidermis,0,Head Epidermis
30,370125,380128,380129,38,a7.0005*,Anterior Head Endoderm,Anterior Endoderm,Head Endoderm
31,310065,320065,320066,32,b7.0001_,Posterior Head Endoderm,Posterior Endoderm,Head Endoderm
32,20029,30036,30037,3,b6.0006_,0,0,0
33,150041,160043,160044,16,a7.0008*,0,0,0
35,150042,160045,160046,16,b7.0003_,0,0,0
37,340074,350074,350075,35,a7.0001*,Anterior Head Endoderm,Anterior Endoderm,Head Endoderm
38,40044,50044,50045,5,a6.0006*,Head Epidermis,0,Head Epidermis
39,150046,160050,160051,16,a7.0007*,"1st Lineage, Notochord",Mesoderm 1 Notochord,"1st Lineage, Notochord"
40,340081,350082,350083,35,a7.0001_,Anterior Head Endoderm,Anterior Endoderm,Head Endoderm
41,320083,330082,330083,33,a7.0002*,Anterior Head Endoderm,Anterior Endoderm,Head Endoderm
42,20038,30046,30047,3,b6.0005_,0,0,0
43,340123,350127,350128,35,a7.0005_,Anterior Head Endoderm,Anterior Endoderm,Head Endoderm
44,230057,240068,240069,24,a7.0006_,Trunk Lateral Cell,Mesoderm Trunk Lateral Cell,Trunk Lateral Cell
45,30050,40052,40053,4,a6.0006_,Head Epidermis,0,Head Epidermis
46,30051,40054,40055,4,a6.0005*,Anterior Ventral Neural Plate,0,Anterior Ventral Neural Plate
47,340098,350100,350101,35,a7.0002_,Anterior Head Endoderm,Anterior Endoderm,Head Endoderm
48,150057,160062,160063,16,a7.0004*,Posterior Ventral Neural Plate,Posterior ventral Neural Plate,Posterior Ventral Neural Plate
49,30054,40058,40059,4,a6.0007_,0,0,0
51,140060,150061,150062,15,a7.0003*,"1st Lineage, Notochord",Mesoderm 1 Notochord,"1st Lineage, Notochord"
52,140061,150063,150064,15,a7.0007_,"1st Lineage, Notochord",Mesoderm 1 Notochord,"1st Lineage, Notochord"
53,150065,160071,160072,16,a7.0003_,"1st Lineage, Notochord",Mesoderm 1 Notochord,"1st Lineage, Notochord"
55,150066,160073,160074,16,a7.0008_,0,0,0
56,140064,150067,150068,15,a7.0004_,Posterior Ventral Neural Plate,Posterior ventral Neural Plate,Posterior Ventral Neural Plate
57,20052,30061,30062,3,a6.0005_,Anterior Ventral Neural Plate,0,Anterior Ventral Neural Plate
20005,390010,400010,400011,38,b7.0005_,Trunk Ventral Cell,Mesoderm Trunk ventral Cell,Trunk Ventral Cell
20006,680020,690020,690021,67,b7.0006_,Germ Line,germ line,Germ Line
20014,230022,240027,240028,22,b7.0009*,0,0,0
20015,230023,240029,240030,22,b7.0010*,0,0,0
30002,230002,240002,240003,21,b7.0013*,0,0,Tail Epidermis
30003,240004,250004,250005,22,b7.0014*,0,0,Tail Epidermis
30008,240011,250012,250013,22,b7.0011*,0,0,Tail Epidermis
30009,240012,250014,250015,22,b7.0012*,0,0,Tail Epidermis
30010,230012,240013,240014,21,b7.0014_,0,0,Tail Epidermis
30011,230013,240015,240016,21,b7.0013_,0,0,Tail Epidermis
30013,230015,240019,240020,21,b7.0015*,Lateral Tail Epidermis,0,Tail Epidermis
30014,240021,250024,250025,22,b7.0016*,0,0,0
30020,230024,240031,240032,21,b7.0016_,0,0,0
30021,240033,250037,250038,22,b7.0015_,Lateral Tail Epidermis,0,Tail Epidermis
30026,240039,250045,250046,22,a7.0015*,Head Epidermis,Trunk Epidermis,Head Epidermis
30027,240040,250047,250048,22,a7.0016*,Head Epidermis,Trunk Epidermis,Head Epidermis
30036,230042,240051,240052,21,b7.0011_,0,0,Tail Epidermis
30037,230043,240053,240054,21,b7.0012_,0,0,Tail Epidermis
30046,240066,250076,250077,22,b7.0009_,0,0,0
30047,240067,250078,250079,22,b7.0010_,0,0,0
30061,250104,260111,260112,23,a7.0010_,Anterior Ventral Neural Plate,Anterior + Dorsal Neural Plate,Anterior Ventral Neural Plate
30062,250105,260113,260114,23,a7.0009_,Anterior Ventral Neural Plate,Anterior + Dorsal Neural Plate,Anterior Ventral Neural Plate
40029,240043,250051,250052,21,a7.0014*,Head Epidermis,Trunk Epidermis,Head Epidermis
40030,240044,250053,250054,21,a7.0013*,Anterior Dorsal Neural Plate,Lateral Neural Plate,Anterior Dorsal Neural Plate
40033,250058,260060,260061,22,a7.0016_,Head Epidermis,Trunk Epidermis,Head Epidermis
40034,250059,260062,260063,22,a7.0015_,Head Epidermis,Trunk Epidermis,Head Epidermis
40052,240070,250082,250083,21,a7.0012_,Head Epidermis,Trunk Epidermis,Head Epidermis
40053,250084,260090,260091,22,a7.0011_,Head Epidermis,Trunk Epidermis,Head Epidermis
40054,260092,270092,270093,23,a7.0009*,Anterior Ventral Neural Plate,Anterior + Dorsal Neural Plate,Anterior Ventral Neural Plate
40055,270094,280095,280096,24,a7.0010*,Anterior Ventral Neural Plate,Anterior + Dorsal Neural Plate,Anterior Ventral Neural Plate
40058,240077,250090,250091,21,a7.0014_,Head Epidermis,Trunk Epidermis,Head Epidermis
40059,240078,250092,250093,21,a7.0013_,Anterior Dorsal Neural Plate,Lateral Neural Plate,Anterior Dorsal Neural Plate
50044,250070,260074,260075,21,a7.0012*,Head Epidermis,Trunk Epidermis,Head Epidermis
50045,250071,260076,260077,21,a7.0011*,Head Epidermis,Trunk Epidermis,Head Epidermis
150023,390044,400045,400046,25,b8.0005*,Mesenchyme,Mesoderm Mesenchyme,Mesenchyme
150024,510072,520071,520072,37,b8.0006*,"2nd Lineage, Notochord",Mesoderm 2 Notochord,"2nd Lineage, Notochord"
150061,490172,500172,500173,35,a8.0006*,"1st Lineage, Notochord",Mesoderm 1 Notochord,"1st Lineage, Notochord"
150062,480168,490173,490174,34,a8.0005*,"1st Lineage, Notochord",Mesoderm 1 Notochord,"1st Lineage, Notochord"
150063,460141,470159,470160,32,a8.0014_,"1st Lineage, Notochord",Mesoderm 1 Notochord,"1st Lineage, Notochord"
150064,480171,490177,490178,34,a8.0013_,"1st Lineage, Notochord",Mesoderm 1 Notochord,"1st Lineage, Notochord"
150067,410127,420127,420128,27,a8.0007_,Posterior Ventral Neural Plate,Posterior ventral Neural Plate,Posterior Ventral Neural Plate
150068,440131,450135,450136,30,a8.0008_,Posterior Ventral Neural Plate,Posterior ventral Neural Plate,Posterior Ventral Neural Plate
160016,370028,380028,380029,22,b8.0007*,"1st Lineage, Tail Muscle",Mesoderm First Muscle,"1st Lineage, Tail Muscle"
160017,370029,380030,380031,22,b8.0008*,"1st Lineage, Tail Muscle",Mesoderm First Muscle,"1st Lineage, Tail Muscle"
160033,360057,370057,370058,21,b8.0007_,"1st Lineage, Tail Muscle",Mesoderm First Muscle,"1st Lineage, Tail Muscle"
160034,360058,370059,370060,21,b8.0008_,"1st Lineage, Tail Muscle",Mesoderm First Muscle,"1st Lineage, Tail Muscle"
160043,450084,460096,460097,30,a8.0016*,0,0,0
160044,460098,470111,470112,31,a8.0015*,Posterior Lateral Neural Plate,Lateral Neural Plate,Posterior Lateral Neural Plate
160045,400080,410082,410083,25,b8.0005_,Mesenchyme,Mesoderm Mesenchyme,Mesenchyme
160046,550126,560126,560127,40,b8.0006_,"2nd Lineage, Notochord",Mesoderm 2 Notochord,"2nd Lineage, Notochord"
160050,500135,510136,510137,35,a8.0014*,"1st Lineage, Notochord",Mesoderm 1 Notochord,"1st Lineage, Notochord"
160051,450096,460109,460110,30,a8.0013*,"1st Lineage, Notochord",Mesoderm 1 Notochord,"1st Lineage, Notochord"
160062,440114,450117,450118,29,a8.0008*,Posterior Ventral Neural Plate,Posterior ventral Neural Plate,Posterior Ventral Neural Plate
160063,430115,440115,440116,28,a8.0007*,Posterior Ventral Neural Plate,Posterior ventral Neural Plate,Posterior Ventral Neural Plate
160071,510183,520186,520187,36,a8.0005_,"1st Lineage, Notochord",Mesoderm 1 Notochord,"1st Lineage, Notochord"
160072,490180,500181,500182,34,a8.0006_,"1st Lineage, Notochord",Mesoderm 1 Notochord,"1st Lineage, Notochord"
160073,460145,470164,470165,31,a8.0016_,0,0,0
160074,450132,460146,460147,30,a8.0015_,Posterior Lateral Neural Plate,Lateral Neural Plate,Posterior Lateral Neural Plate
240002,470002,480002,480003,24,b8.0025*,0,0,Tail Epidermis
240003,460003,470003,470004,23,b8.0026*,Lateral Tail Epidermis,Lateral Tail Epidermis,Tail Epidermis
