Beginning CellID,Mother_CellID,Child1_CellID,Child2_CellID,Life of mother in t,the name of the Beginning cell,fate 1 of the Beginning cell,fate 2 of the Beginning cell,fate 3 of the Begining cell
2,2,10002,10003,1,b6.0003*,0,0,0
3,420110,430108,430109,43,b7.0002*,0,Posterior Endoderm,0
4,180028,190028,190029,19,b7.0003*,0,0,0
5,10006,20006,20007,2,b6.0003_,0,0,0
6,440116,450120,450121,45,b7.0002_,0,Posterior Endoderm,0
7,440035,450036,450037,45,b7.0001*,Posterior Head Endoderm,Posterior Endoderm,Head Endoderm
8,270010,280009,280010,28,b7.0008*,"1st Lineage, Tail Muscle",Mesoderm First Muscle,"1st Lineage, Tail Muscle"
9,180010,190010,190011,19,b7.0004*,"1st Lineage, Tail Muscle",Mesoderm First Muscle,"1st Lineage, Tail Muscle"
12,450012,460011,460012,46,a7.0001*,Anterior Head Endoderm,Anterior Endoderm,Head Endoderm
13,440114,450117,450118,45,b7.0001_,Posterior Head Endoderm,Posterior Endoderm,Head Endoderm
15,490013,500013,500014,50,b7.0007_,Mesenchyme,Mesoderm Mesenchyme,Mesenchyme
16,440101,450103,450104,45,a7.0005*,Anterior Head Endoderm,Anterior Endoderm,Head Endoderm
18,260015,270016,270017,27,a7.0006*,Trunk Lateral Cell,Mesoderm Trunk Lateral Cell,Trunk Lateral Cell
19,250015,260016,260017,26,b7.0008_,"1st Lineage, Tail Muscle",Mesoderm First Muscle,"1st Lineage, Tail Muscle"
20,450018,460018,460019,46,a7.0001_,Anterior Head Endoderm,Anterior Endoderm,Head Endoderm
21,20020,30021,30022,3,b6.0005*,0,0,0
22,190022,200020,200021,20,b7.0003_,0,0,0
23,10021,20022,20023,2,b6.0007*,0,0,0
24,400026,410026,410027,41,a7.0002*,Anterior Head Endoderm,Anterior Endoderm,Head Endoderm
25,10023,20025,20026,2,b6.0007_,0,0,0
27,190032,200031,200032,20,a7.0007*,"1st Lineage, Notochord",Mesoderm 1 Notochord,"1st Lineage, Notochord"
28,170033,180032,180033,18,b7.0004_,"1st Lineage, Tail Muscle",Mesoderm First Muscle,"1st Lineage, Tail Muscle"
29,20030,30032,30033,3,b6.0006*,0,0,0
30,440117,450122,450127,45,a7.0005_,Anterior Head Endoderm,Anterior Endoderm,Head Endoderm
34,410102,420104,420105,42,a7.0002_,Anterior Head Endoderm,Anterior Endoderm,Head Endoderm
35,170039,180038,180039,18,a7.0008*,0,0,0
36,280116,290112,290115,29,a7.0006_,Trunk Lateral Cell,Mesoderm Trunk Lateral Cell,Trunk Lateral Cell
38,50042,60041,60042,6,b6.0008*,0,0,0
42,200075,210076,210077,21,a7.0003*,"1st Lineage, Notochord",Mesoderm 1 Notochord,"1st Lineage, Notochord"
43,20038,30042,30043,3,b6.0008_,0,0,0
