Beginning CellID,Mother_CellID,Child1_CellID,Child2_CellID,Life of mother in t,the name of the Beginning cell,fate 1 of the Beginning cell,fate 2 of the Beginning cell,fate 3 of the Begining cell
10006,190002,200002,200003,19,a7.0009_,Anterior Ventral Neural Plate,Anterior + Dorsal Neural Plate,Anterior Ventral Neural Plate
10007,200004,210004,210005,20,a7.0010_,Anterior Ventral Neural Plate,Anterior + Dorsal Neural Plate,Anterior Ventral Neural Plate
10009,210006,220006,220007,21,a7.0013_,Anterior Dorsal Neural Plate,Lateral Neural Plate,Anterior Dorsal Neural Plate
10012,200006,210007,210008,20,a7.0010*,Anterior Ventral Neural Plate,Anterior + Dorsal Neural Plate,Anterior Ventral Neural Plate
10013,100006,110006,110007,10,a7.0004_,Posterior Ventral Neural Plate,Posterior ventral Neural Plate,Posterior Ventral Neural Plate
10014,90069,100070,100071,9,a7.0008_,0,0,0
10015,200009,210011,210012,20,a7.0011_,Head Epidermis,Trunk Epidermis,Head Epidermis
10016,120009,130009,130010,12,a7.0007_,"1st Lineage, Notochord",Mesoderm 1 Notochord,"1st Lineage, Notochord"
10018,100009,110010,110011,10,a7.0004*,Posterior Ventral Neural Plate,Posterior ventral Neural Plate,Posterior Ventral Neural Plate
10019,200015,210017,210018,20,a7.0011*,Head Epidermis,Trunk Epidermis,Head Epidermis
10021,230020,240020,240021,23,b7.0010_,0,0,0
10023,210020,220021,220022,21,a7.0014_,Head Epidermis,Trunk Epidermis,Head Epidermis
10026,190016,200018,200019,19,a7.0009*,Anterior Ventral Neural Plate,Anterior + Dorsal Neural Plate,Anterior Ventral Neural Plate
10027,230120,240126,240026,23,a7.0006_,Trunk Lateral Cell,Mesoderm Trunk Lateral Cell,Trunk Lateral Cell
10030,120017,130018,130019,12,a7.0003_,"1st Lineage, Notochord",Mesoderm 1 Notochord,"1st Lineage, Notochord"
10031,210105,220116,220118,21,b7.0009_,0,0,0
10032,200023,210026,210027,20,a7.0012_,Head Epidermis,Trunk Epidermis,Head Epidermis
10034,360031,370031,370122,36,a7.0002_,Anterior Head Endoderm,Anterior Endoderm,Head Endoderm
10035,120021,130024,130025,12,a7.0003*,"1st Lineage, Notochord",Mesoderm 1 Notochord,"1st Lineage, Notochord"
10037,220034,230034,230035,22,b7.0012_,0,0,Tail Epidermis
10038,210033,220035,220036,21,a7.0013*,Anterior Dorsal Neural Plate,Lateral Neural Plate,Anterior Dorsal Neural Plate
10039,210034,220037,220038,21,a7.0012*,Head Epidermis,Trunk Epidermis,Head Epidermis
10040,430045,440045,440046,43,a7.0005_,Anterior Head Endoderm,Anterior Endoderm,Head Endoderm
10041,80024,90024,90025,8,a7.0008*,0,0,0
10042,210038,220043,220044,21,a7.0015_,Head Epidermis,Trunk Epidermis,Head Epidermis
10043,470050,480054,480055,47,a7.0002*,Anterior Head Endoderm,Anterior Endoderm,Head Endoderm
10044,100028,110031,110032,10,a7.0007*,"1st Lineage, Notochord",Mesoderm 1 Notochord,"1st Lineage, Notochord"
10045,120034,130038,130039,12,b7.0003_,0,0,0
10046,210047,220053,220054,21,a7.0014*,Head Epidermis,Trunk Epidermis,Head Epidermis
10047,100031,110035,110036,10,b7.0004_,"1st Lineage, Tail Muscle",Mesoderm First Muscle,"1st Lineage, Tail Muscle"
10049,220057,230057,230058,22,b7.0011_,0,0,Tail Epidermis
10050,440063,450059,450060,44,a7.0001_,Anterior Head Endoderm,Anterior Endoderm,Head Endoderm
10051,210053,220060,220061,21,a7.0016_,Head Epidermis,Trunk Epidermis,Head Epidermis
10054,210054,220062,220063,21,b7.0010*,0,0,0
10055,420064,430067,430068,42,a7.0005*,Anterior Head Endoderm,Anterior Endoderm,Head Endoderm
10056,230066,240069,240070,23,a7.0015*,Head Epidermis,Trunk Epidermis,Head Epidermis
10057,200053,210058,210059,20,a7.0006*,Trunk Lateral Cell,Mesoderm Trunk Lateral Cell,Trunk Lateral Cell
10058,230070,240073,240074,23,b7.0015_,Lateral Tail Epidermis,0,Tail Epidermis
10059,440132,450126,450127,44,b7.0001_,Posterior Head Endoderm,Posterior Endoderm,Head Endoderm
10060,460073,470076,470077,46,a7.0001*,Anterior Head Endoderm,Anterior Endoderm,Head Endoderm
10062,230074,240078,240079,23,a7.0016*,Head Epidermis,Trunk Epidermis,Head Epidermis
10063,230075,240080,240081,23,b7.0016_,0,0,0
10064,210066,220075,220076,21,b7.0013_,0,0,Tail Epidermis
10066,200061,210067,210068,20,b7.0012*,0,0,Tail Epidermis
10067,480093,490101,490102,48,b7.0007_,Mesenchyme,Mesoderm Mesenchyme,Mesenchyme
10069,200094,210104,210100,20,b7.0009*,0,0,0
10070,510120,520127,520128,51,b7.0002_,0,Posterior Endoderm,0
10072,200065,210072,210073,20,b7.0016*,0,0,0
10073,420084,430088,430089,42,b7.0001*,Posterior Head Endoderm,Posterior Endoderm,Head Endoderm
10074,230087,240092,240093,23,b7.0008_,"1st Lineage, Tail Muscle",Mesoderm First Muscle,"1st Lineage, Tail Muscle"
10075,210076,220086,220087,21,b7.0014_,0,0,Tail Epidermis
10076,210077,220088,220089,21,b7.0015*,Lateral Tail Epidermis,0,Tail Epidermis
10078,100055,110063,110064,10,b7.0004*,"1st Lineage, Tail Muscle",Mesoderm First Muscle,"1st Lineage, Tail Muscle"
10079,180072,190071,190072,18,b7.0011*,0,0,Tail Epidermis
10080,410097,420097,420098,41,b7.0002*,0,Posterior Endoderm,0
10081,100058,110067,110068,10,b7.0003*,0,0,0
10082,210088,220099,220100,21,b7.0014*,0,0,Tail Epidermis
10083,500140,510153,510154,50,b7.0005_,Trunk Ventral Cell,Mesoderm Trunk ventral Cell,Trunk Ventral Cell
10084,220102,230104,230105,22,b7.0008*,"1st Lineage, Tail Muscle",Mesoderm First Muscle,"1st Lineage, Tail Muscle"
10086,210092,220103,220104,21,b7.0013*,0,0,Tail Epidermis
10087,500146,510160,510161,50,b7.0007*,Mesenchyme,Mesoderm Mesenchyme,Mesenchyme
10089,1800446,0,0,180,b7.0006*,Germ Line,germ line,Germ Line
10090,1800447,0,0,180,b7.0006_,Germ Line,germ line,Germ Line
10091,460124,470131,470132,46,b7.0005*,Trunk Ventral Cell,Mesoderm Trunk ventral Cell,Trunk Ventral Cell
90024,460042,470044,470045,38,a8.0015*,Posterior Lateral Neural Plate,Lateral Neural Plate,Posterior Lateral Neural Plate
90025,440048,450043,450044,36,a8.0016*,0,0,0
100070,450128,460130,460116,36,a8.0015_,Posterior Lateral Neural Plate,Lateral Neural Plate,Posterior Lateral Neural Plate
100071,450115,460117,460118,36,a8.0016_,0,0,0
110006,460010,470010,470011,36,a8.0008_,Posterior Ventral Neural Plate,Posterior ventral Neural Plate,Posterior Ventral Neural Plate
110007,470012,480012,480013,37,a8.0007_,Posterior Ventral Neural Plate,Posterior ventral Neural Plate,Posterior Ventral Neural Plate
110010,460016,470017,470018,36,a8.0007*,Posterior Ventral Neural Plate,Posterior ventral Neural Plate,Posterior Ventral Neural Plate
110011,480147,490161,490163,38,a8.0008*,Posterior Ventral Neural Plate,Posterior ventral Neural Plate,Posterior Ventral Neural Plate
110031,660077,670077,670078,56,a8.0013*,"1st Lineage, Notochord",Mesoderm 1 Notochord,"1st Lineage, Notochord"
110032,630079,640076,640077,53,a8.0014*,"1st Lineage, Notochord",Mesoderm 1 Notochord,"1st Lineage, Notochord"
110035,350052,360052,360053,25,b8.0008_,"1st Lineage, Tail Muscle",Mesoderm First Muscle,"1st Lineage, Tail Muscle"
110036,370055,380054,380055,27,b8.0007_,"1st Lineage, Tail Muscle",Mesoderm First Muscle,"1st Lineage, Tail Muscle"
110063,360090,370090,370091,26,b8.0008*,"1st Lineage, Tail Muscle",Mesoderm First Muscle,"1st Lineage, Tail Muscle"
