Beginning CellID,Mother_CellID,Child1_CellID,Child2_CellID,Life of mother in t,the name of the Beginning cell,fate 1 of the Beginning cell,fate 2 of the Beginning cell,fate 3 of the Begining cell
10002,10002,20002,20003,1,b6.0004*,0,0,0
10003,50004,60004,60005,5,b6.0002*,0,0,0
10004,50005,60006,60007,5,b6.0007*,0,0,0
10005,200053,210073,210074,20,b7.0004*,"1st Lineage, Tail Muscle",Mesoderm First Muscle,"1st Lineage, Tail Muscle"
10006,480071,490119,490120,48,b7.0002*,0,Posterior Endoderm,0
10007,100010,110010,110011,10,b6.0003_,0,0,0
10008,50041,60057,60058,5,b6.0006*,0,0,0
10009,80011,90011,90012,8,b6.0007_,0,0,0
10010,60050,70052,70053,6,b6.0008*,0,0,0
10011,60012,70012,70013,6,b6.0004_,0,0,0
10012,30012,40011,40012,3,b6.0001_,0,0,0
10013,230062,240059,240060,23,b7.0003*,0,0,0
10014,40014,50014,50015,4,b6.0005*,0,0,0
10015,470072,480073,480117,47,b7.0001*,Posterior Head Endoderm,Posterior Endoderm,Head Endoderm
10016,90021,100021,100022,9,b6.0008_,0,0,0
10017,330081,340083,340084,33,a7.0006*,Trunk Lateral Cell,Mesoderm Trunk Lateral Cell,Trunk Lateral Cell
10018,480085,490086,490087,48,a7.0005*,Anterior Head Endoderm,Anterior Endoderm,Head Endoderm
10019,260016,270016,270017,26,b6.0002_,0,0,0
10020,200056,210056,210057,20,a7.0008*,0,0,0
10021,50046,60053,60054,5,a6.0007*,0,0,0
10022,80026,90028,90029,8,b6.0006_,0,0,0
10023,530029,540030,540031,53,a7.0001_,Anterior Head Endoderm,Anterior Endoderm,Head Endoderm
10024,560116,570115,570116,56,a7.0001*,Anterior Head Endoderm,Anterior Endoderm,Head Endoderm
10025,220051,230050,230051,22,a7.0007*,"1st Lineage, Notochord",Mesoderm 1 Notochord,"1st Lineage, Notochord"
10026,80029,90032,90033,8,a6.0008_,Head Epidermis,0,Head Epidermis
10027,470030,480030,480031,47,a7.0005_,Anterior Head Endoderm,Anterior Endoderm,Head Endoderm
10028,440087,450087,450088,44,a7.0002*,Anterior Head Endoderm,Anterior Endoderm,Head Endoderm
10029,50028,60031,60032,5,a6.0006*,Head Epidermis,0,Head Epidermis
10030,340035,350035,350036,34,a7.0006_,Trunk Lateral Cell,Mesoderm Trunk Lateral Cell,Trunk Lateral Cell
10031,260048,270049,270050,26,a7.0003*,"1st Lineage, Notochord",Mesoderm 1 Notochord,"1st Lineage, Notochord"
10032,80036,90040,90041,8,b6.0005_,0,0,0
10033,490075,500076,500077,49,a7.0002_,Anterior Head Endoderm,Anterior Endoderm,Head Endoderm
10034,60037,70038,70039,6,a6.0006_,Head Epidermis,0,Head Epidermis
10035,210033,220030,220031,21,a7.0003_,"1st Lineage, Notochord",Mesoderm 1 Notochord,"1st Lineage, Notochord"
10036,50042,60048,60049,5,a6.0005*,Anterior Ventral Neural Plate,0,Anterior Ventral Neural Plate
10037,210034,220032,220033,21,a7.0007_,"1st Lineage, Notochord",Mesoderm 1 Notochord,"1st Lineage, Notochord"
10038,200036,210035,210036,20,a7.0004*,Posterior Ventral Neural Plate,Posterior ventral Neural Plate,Posterior Ventral Neural Plate
10039,60042,70044,70045,6,a6.0007_,0,0,0
10040,200039,210039,210040,20,a7.0008_,0,0,0
10041,50039,60044,60045,5,a6.0005_,Anterior Ventral Neural Plate,0,Anterior Ventral Neural Plate
10042,200042,210043,210044,20,a7.0004_,Posterior Ventral Neural Plate,Posterior ventral Neural Plate,Posterior Ventral Neural Plate
10044,50044,60051,60052,5,a6.0008*,Head Epidermis,0,Head Epidermis
20002,270057,280059,280081,26,b7.0008*,"1st Lineage, Tail Muscle",Mesoderm First Muscle,"1st Lineage, Tail Muscle"
20003,640110,0,0,63,b7.0007*,Mesenchyme,Mesoderm Mesenchyme,Mesenchyme
40011,510012,520012,520013,48,b7.0002_,0,Posterior Endoderm,0
40012,520015,530015,530016,49,b7.0001_,Posterior Head Endoderm,Posterior Endoderm,Head Endoderm
50014,330084,340087,340088,29,b7.0009*,0,0,0
50015,270013,280014,280015,23,b7.0010*,0,0,0
60004,550002,560002,560003,50,b7.0005*,Trunk Ventral Cell,Mesoderm Trunk ventral Cell,Trunk Ventral Cell
60005,180099,0,0,13,,0,0,0
60006,280003,290004,290005,23,b7.0014*,0,0,Tail Epidermis
60007,270004,280004,280005,22,b7.0013*,0,0,Tail Epidermis
60031,370033,380032,380033,32,a7.0012*,Head Epidermis,Trunk Epidermis,Head Epidermis
60032,280027,290029,290085,23,a7.0011*,Head Epidermis,Trunk Epidermis,Head Epidermis
60044,290044,300047,300048,24,a7.0010_,Anterior Ventral Neural Plate,Anterior + Dorsal Neural Plate,Anterior Ventral Neural Plate
60045,280043,290045,290046,23,a7.0009_,Anterior Ventral Neural Plate,Anterior + Dorsal Neural Plate,Anterior Ventral Neural Plate
60048,280046,290049,290086,23,a7.0009*,Anterior Ventral Neural Plate,Anterior + Dorsal Neural Plate,Anterior Ventral Neural Plate
60049,330060,340062,340063,28,a7.0010*,Anterior Ventral Neural Plate,Anterior + Dorsal Neural Plate,Anterior Ventral Neural Plate
60051,310071,320075,320076,26,a7.0016*,Head Epidermis,Trunk Epidermis,Head Epidermis
60052,310058,320061,320062,26,a7.0015*,Head Epidermis,Trunk Epidermis,Head Epidermis
60053,330085,340089,340090,28,a7.0014*,Head Epidermis,Trunk Epidermis,Head Epidermis
60054,330090,340095,340096,28,a7.0013*,Anterior Dorsal Neural Plate,Lateral Neural Plate,Anterior Dorsal Neural Plate
60057,270076,280076,280077,22,b7.0011*,0,0,Tail Epidermis
60058,310081,320086,320087,26,b7.0012*,0,0,Tail Epidermis
70012,350011,360009,360010,29,b7.0008_,"1st Lineage, Tail Muscle",Mesoderm First Muscle,"1st Lineage, Tail Muscle"
70013,610015,620015,620016,55,b7.0007_,Mesenchyme,Mesoderm Mesenchyme,Mesenchyme
70038,360040,370041,370042,30,a7.0012_,Head Epidermis,Trunk Epidermis,Head Epidermis
70039,290034,300034,300035,23,a7.0011_,Head Epidermis,Trunk Epidermis,Head Epidermis
70044,290040,300041,300042,23,a7.0014_,Head Epidermis,Trunk Epidermis,Head Epidermis
70045,290041,300043,300044,23,a7.0013_,Anterior Dorsal Neural Plate,Lateral Neural Plate,Anterior Dorsal Neural Plate
70052,280054,290058,290059,22,b7.0016*,0,0,0
70053,280048,290051,290052,22,b7.0015*,Lateral Tail Epidermis,0,Tail Epidermis
90011,330009,340009,340010,25,b7.0014_,0,0,Tail Epidermis
90012,320010,330100,330101,24,b7.0013_,0,0,Tail Epidermis
90028,330023,340023,340024,25,b7.0011_,0,0,Tail Epidermis
90029,320024,330024,330025,24,b7.0012_,0,0,Tail Epidermis
90032,310025,320026,320027,23,a7.0016_,Head Epidermis,Trunk Epidermis,Head Epidermis
90033,300026,310026,310027,22,a7.0015_,Head Epidermis,Trunk Epidermis,Head Epidermis
90040,320035,330036,330037,24,b7.0009_,0,0,0
90041,330038,340039,340040,25,b7.0010_,0,0,0
100021,310018,320017,320018,22,b7.0016_,0,0,0
100022,310019,320019,320020,22,b7.0015_,Lateral Tail Epidermis,0,Tail Epidermis
110010,890009,0,0,79,b7.0006_,Germ Line,germ line,Germ Line
110011,620008,630008,630009,52,b7.0005_,Trunk Ventral Cell,Mesoderm Trunk ventral Cell,Trunk Ventral Cell
210035,550131,560137,560138,35,a8.0008*,Posterior Ventral Neural Plate,Posterior ventral Neural Plate,Posterior Ventral Neural Plate
210036,490051,500051,500052,29,a8.0007*,Posterior Ventral Neural Plate,Posterior ventral Neural Plate,Posterior Ventral Neural Plate
210039,490056,500057,500058,29,a8.0016_,0,0,0
210040,510059,520061,520062,31,a8.0015_,Posterior Lateral Neural Plate,Lateral Neural Plate,Posterior Lateral Neural Plate
210043,510064,520067,520068,31,a8.0008_,Posterior Ventral Neural Plate,Posterior ventral Neural Plate,Posterior Ventral Neural Plate
210044,510065,520069,520070,31,a8.0007_,Posterior Ventral Neural Plate,Posterior ventral Neural Plate,Posterior Ventral Neural Plate
210056,510096,520102,520147,31,a8.0016*,0,0,0
210057,510101,520108,520109,31,a8.0015*,Posterior Lateral Neural Plate,Lateral Neural Plate,Posterior Lateral Neural Plate
210073,420077,430075,430076,22,b8.0008*,"1st Lineage, Tail Muscle",Mesoderm First Muscle,"1st Lineage, Tail Muscle"
210074,630116,640118,640119,43,b8.0007*,"1st Lineage, Tail Muscle",Mesoderm First Muscle,"1st Lineage, Tail Muscle"
220030,640076,650077,650078,43,a8.0005_,"1st Lineage, Notochord",Mesoderm 1 Notochord,"1st Lineage, Notochord"
220031,660080,670079,670080,45,a8.0006_,"1st Lineage, Notochord",Mesoderm 1 Notochord,"1st Lineage, Notochord"
220032,620077,630077,630078,41,a8.0014_,"1st Lineage, Notochord",Mesoderm 1 Notochord,"1st Lineage, Notochord"
220033,640080,650082,650083,43,a8.0013_,"1st Lineage, Notochord",Mesoderm 1 Notochord,"1st Lineage, Notochord"
230050,640139,650149,650150,42,a8.0014*,"1st Lineage, Notochord",Mesoderm 1 Notochord,"1st Lineage, Notochord"
230051,640145,650157,650158,42,a8.0013*,"1st Lineage, Notochord",Mesoderm 1 Notochord,"1st Lineage, Notochord"
240059,560113,570112,570113,33,b8.0005*,Mesenchyme,Mesoderm Mesenchyme,Mesenchyme
240060,640154,650167,650168,41,b8.0006*,"2nd Lineage, Notochord",Mesoderm 2 Notochord,"2nd Lineage, Notochord"
270016,520022,530023,530024,26,0,0,0,0
270017,540026,550028,550029,28,0,0,0,0
270049,610104,620105,620106,35,a8.0006*,"1st Lineage, Notochord",Mesoderm 1 Notochord,"1st Lineage, Notochord"
270050,620107,630189,630190,36,a8.0005*,"1st Lineage, Notochord",Mesoderm 1 Notochord,"1st Lineage, Notochord"
280004,500113,510114,510115,23,b8.0025*,0,0,Tail Epidermis
280005,530004,540004,540005,26,b8.0026*,Lateral Tail Epidermis,Lateral Tail Epidermis,Tail Epidermis
280014,690021,700021,700022,42,b8.0019*,Posterior Dorsal Neural Plate,Anterior + Dorsal Neural Plate,Posterior Dorsal Neural Plate
280015,580022,590022,590023,31,b8.0020*,Midline Tail Epidermis,Midline Tail Epidermis,Tail Epidermis
280059,890187,0,0,62,b8.0016*,"1st Lineage, Tail Muscle",Mesoderm First Muscle,"1st Lineage, Tail Muscle"
280076,510113,520121,520148,24,b8.0021*,0,0,Tail Epidermis
280077,510116,520124,520125,24,b8.0022*,0,0,Tail Epidermis
280081,890188,0,0,62,b8.0015*,"1st Lineage, Tail Muscle",Mesoderm First Muscle,"1st Lineage, Tail Muscle"
290004,500107,510107,510108,22,b8.0027*,Midline Tail Epidermis,Midline Tail Epidermis,Tail Epidermis
290005,530119,540129,540130,25,b8.0028*,0,0,Tail Epidermis
290029,540045,550050,550051,26,a8.0022*,Head Epidermis,Trunk Epidermis,Head Epidermis
290045,630095,640096,640097,35,a8.0018_,Anterior Ventral Neural Plate,Anterior + Dorsal Neural Plate,Anterior Ventral Neural Plate
290046,640098,650102,650103,36,a8.0017_,Anterior Ventral Neural Plate,Anterior + Dorsal Neural Plate,Anterior Ventral Neural Plate
290049,630102,640104,640105,35,a8.0018*,Anterior Ventral Neural Plate,Anterior + Dorsal Neural Plate,Anterior Ventral Neural Plate
290051,510069,520074,520075,23,b8.0029*,Lateral Tail Epidermis,Lateral Tail Epidermis,Tail Epidermis
290052,530079,540088,540089,25,b8.0030*,Lateral Tail Epidermis,Lateral Tail Epidermis,Tail Epidermis
290058,510112,520119,520120,23,b8.0031*,0,0,0
290059,520080,530083,530084,24,b8.0032*,0,0,0
290085,510035,520036,520037,23,a8.0021*,Head Epidermis,Trunk Epidermis,Head Epidermis
290086,640103,650108,650109,36,a8.0017*,Anterior Ventral Neural Plate,Anterior + Dorsal Neural Plate,Anterior Ventral Neural Plate
300034,570067,580070,580071,28,a8.0022_,Head Epidermis,Trunk Epidermis,Head Epidermis
300035,530051,540057,540058,24,a8.0021_,Head Epidermis,Trunk Epidermis,Head Epidermis
300041,530058,540065,540066,24,a8.0028_,Head Epidermis,Trunk Epidermis,Head Epidermis
300042,530059,540067,540068,24,a8.0027_,Head Epidermis,Trunk Epidermis,Head Epidermis
300043,690091,700091,700092,40,a8.0025_,Anterior Dorsal Neural Plate,Lateral Neural Plate,Anterior Dorsal Neural Plate
300044,670093,680094,680095,38,a8.0026_,Anterior Dorsal Neural Plate,Lateral Neural Plate,Anterior Dorsal Neural Plate
300047,620091,630092,630093,33,a8.0020_,Anterior Ventral Neural Plate,Anterior + Dorsal Neural Plate,Anterior Ventral Neural Plate
300048,640095,650098,650099,35,a8.0019_,Anterior Ventral Neural Plate,Anterior + Dorsal Neural Plate,Anterior Ventral Neural Plate
310026,530032,540034,540035,23,a8.0029_,Head Epidermis,Trunk Epidermis,Head Epidermis
310027,530033,540036,540037,23,a8.0030_,Head Epidermis,Trunk Epidermis,Head Epidermis
320017,540020,550021,550022,23,b8.0031_,0,0,0
320018,550023,560024,560025,24,b8.0032_,0,0,0
320019,550024,560026,560027,24,b8.0029_,Lateral Tail Epidermis,Lateral Tail Epidermis,Tail Epidermis
320020,550025,560028,560029,24,b8.0030_,Lateral Tail Epidermis,Lateral Tail Epidermis,Tail Epidermis
320026,540032,550035,550036,23,a8.0031_,Head Epidermis,Trunk Epidermis,Head Epidermis
320027,540033,550037,550038,23,a8.0032_,Head Epidermis,Trunk Epidermis,Head Epidermis
320061,520126,530132,530133,21,a8.0030*,Head Epidermis,Trunk Epidermis,Head Epidermis
320062,530134,540143,540144,22,a8.0029*,Head Epidermis,Trunk Epidermis,Head Epidermis
