Beginning CellID,Mother_CellID,Child1_CellID,Child2_CellID,Life of mother in t,the name of the Beginning cell,fate 1 of the Beginning cell,fate 2 of the Beginning cell,fate 3 of the Begining cell
2,50002,60002,60003,6,b6.0004_,0,0,0
3,10003,20003,20004,2,b6.0001_,0,0,0
4,4,10004,10005,1,b6.0002_,0,0,0
5,90009,100009,100010,10,b6.0003_,0,0,0
6,130011,140011,140012,14,b6.0003*,0,0,0
7,140013,150013,150014,15,b6.0007_,0,0,0
8,50010,60011,60012,6,b6.0001*,0,0,0
9,9,10010,10011,1,a6.0003_,0,0,0
10,70015,80017,80018,8,b6.0006_,0,0,0
11,70016,80019,80020,8,b6.0005_,0,0,0
12,100024,110025,110026,11,b6.0007*,0,0,0
13,80022,90024,90025,9,b6.0004*,0,0,0
14,80023,90026,90027,9,b6.0008_,0,0,0
15,500113,510116,510117,51,a7.0001_,Anterior Head Endoderm,Anterior Endoderm,Head Endoderm
16,100031,110034,110035,11,b6.0008*,0,0,0
17,210032,220032,220033,22,a7.0008_,0,0,0
18,90032,100033,100034,10,a6.0008_,Head Epidermis,0,Head Epidermis
19,30022,40022,40023,4,b6.0002*,0,0,0
20,240038,250039,250040,25,a7.0007_,"1st Lineage, Notochord",Mesoderm 1 Notochord,"1st Lineage, Notochord"
21,470062,480060,480061,48,a7.0002_,Anterior Head Endoderm,Anterior Endoderm,Head Endoderm
22,10024,20025,20026,2,a6.0001*,Anterior Head Endoderm,0,Head Endoderm
23,80034,90040,90041,9,a6.0007_,0,0,0
24,100044,110048,110049,11,b6.0006*,0,0,0
25,100045,110050,110051,11,a6.0008*,Head Epidermis,0,Head Epidermis
27,70033,80037,80038,8,a6.0006_,Head Epidermis,0,Head Epidermis
28,10030,20032,20033,2,a6.0003*,0,0,0
29,230051,240051,240052,24,a7.0003_,"1st Lineage, Notochord",Mesoderm 1 Notochord,"1st Lineage, Notochord"
30,90050,100052,100053,10,a6.0006*,Head Epidermis,0,Head Epidermis
31,60039,70038,70039,7,a6.0005_,Anterior Ventral Neural Plate,0,Anterior Ventral Neural Plate
32,90053,100056,100057,10,b6.0005*,0,0,0
33,220058,230059,230060,23,a7.0004_,Posterior Ventral Neural Plate,Posterior ventral Neural Plate,Posterior Ventral Neural Plate
34,90055,100059,100060,10,a6.0007*,0,0,0
35,10037,20040,20041,2,a6.0002*,0,0,0
36,90058,100063,100064,10,a6.0005*,Anterior Ventral Neural Plate,0,Anterior Ventral Neural Plate
37,37,10039,10040,1,a6.0004*,0,0,0
10004,230006,240006,240007,23,b7.0004_,"1st Lineage, Tail Muscle",Mesoderm First Muscle,"1st Lineage, Tail Muscle"
10005,240008,250008,250009,24,b7.0003_,0,0,0
10010,350025,360024,360025,35,a7.0006_,Trunk Lateral Cell,Mesoderm Trunk Lateral Cell,Trunk Lateral Cell
10011,490119,500116,500117,49,a7.0005_,Anterior Head Endoderm,Anterior Endoderm,Head Endoderm
10039,250070,260071,260072,25,a7.0007*,"1st Lineage, Notochord",Mesoderm 1 Notochord,"1st Lineage, Notochord"
10040,230068,240070,240071,23,a7.0008*,0,0,0
20003,530005,540005,540006,52,b7.0002_,0,Posterior Endoderm,0
20004,510007,520007,520008,50,b7.0001_,Posterior Head Endoderm,Posterior Endoderm,Head Endoderm
20025,540127,550135,550136,53,a7.0001*,Anterior Head Endoderm,Anterior Endoderm,Head Endoderm
20026,530119,540128,540129,52,a7.0002*,Anterior Head Endoderm,Anterior Endoderm,Head Endoderm
20032,540139,550155,550156,53,a7.0005*,Anterior Head Endoderm,Anterior Endoderm,Head Endoderm
20033,440078,450078,450079,43,a7.0006*,Trunk Lateral Cell,Mesoderm Trunk Lateral Cell,Trunk Lateral Cell
20040,250065,260065,260066,24,a7.0003*,"1st Lineage, Notochord",Mesoderm 1 Notochord,"1st Lineage, Notochord"
20041,230064,240065,240066,22,a7.0004*,Posterior Ventral Neural Plate,Posterior ventral Neural Plate,Posterior Ventral Neural Plate
40022,270037,280037,280038,24,b7.0004*,"1st Lineage, Tail Muscle",Mesoderm First Muscle,"1st Lineage, Tail Muscle"
40023,270038,280039,280040,24,b7.0003*,0,0,0
60002,330002,340002,340003,28,b7.0008_,"1st Lineage, Tail Muscle",Mesoderm First Muscle,"1st Lineage, Tail Muscle"
60003,580004,590004,590005,53,b7.0007_,Mesenchyme,Mesoderm Mesenchyme,Mesenchyme
60011,470120,480117,480118,42,b7.0002*,0,Posterior Endoderm,0
60012,500120,510133,510135,45,b7.0001*,Posterior Head Endoderm,Posterior Endoderm,Head Endoderm
70038,310074,320076,320077,25,a7.0009_,Anterior Ventral Neural Plate,Anterior + Dorsal Neural Plate,Anterior Ventral Neural Plate
70039,310075,320078,320079,25,a7.0010_,Anterior Ventral Neural Plate,Anterior + Dorsal Neural Plate,Anterior Ventral Neural Plate
80017,300021,310024,310025,23,b7.0011_,0,0,Tail Epidermis
80018,300022,310026,310027,23,b7.0012_,0,0,Tail Epidermis
80019,300023,310028,310029,23,b7.0009_,0,0,0
80020,300024,310030,310031,23,b7.0010_,0,0,0
80037,300054,310064,310065,23,a7.0012_,Head Epidermis,Trunk Epidermis,Head Epidermis
80038,300055,310066,310067,23,a7.0011_,Head Epidermis,Trunk Epidermis,Head Epidermis
90024,390038,400039,400040,31,b7.0008*,"1st Lineage, Tail Muscle",Mesoderm First Muscle,"1st Lineage, Tail Muscle"
90025,610054,620054,620055,53,b7.0007*,Mesenchyme,Mesoderm Mesenchyme,Mesenchyme
90026,300030,310037,310038,22,b7.0015_,Lateral Tail Epidermis,0,Tail Epidermis
90027,310039,320039,320040,23,b7.0016_,0,0,0
90040,310057,320057,320058,23,a7.0014_,Head Epidermis,Trunk Epidermis,Head Epidermis
90041,300049,310058,310059,22,a7.0013_,Anterior Dorsal Neural Plate,Lateral Neural Plate,Anterior Dorsal Neural Plate
100009,590017,600017,600018,50,b7.0005_,Trunk Ventral Cell,Mesoderm Trunk ventral Cell,Trunk Ventral Cell
100010,890020,0,0,80,b7.0006_,Germ Line,germ line,Germ Line
100033,320046,330047,330048,23,a7.0015_,Head Epidermis,Trunk Epidermis,Head Epidermis
100034,320047,330049,330050,23,a7.0016_,Head Epidermis,Trunk Epidermis,Head Epidermis
100052,320073,330079,330080,23,a7.0012*,Head Epidermis,Trunk Epidermis,Head Epidermis
100053,310073,320074,320075,22,a7.0011*,Head Epidermis,Trunk Epidermis,Head Epidermis
100056,320080,330087,330088,23,b7.0009*,0,0,0
100057,320081,330089,330090,23,b7.0010*,0,0,0
100059,320084,330093,330094,23,a7.0014*,Head Epidermis,Trunk Epidermis,Head Epidermis
100060,310081,320085,320086,22,a7.0013*,Anterior Dorsal Neural Plate,Lateral Neural Plate,Anterior Dorsal Neural Plate
100063,320091,330101,330102,23,a7.0010*,Anterior Ventral Neural Plate,Anterior + Dorsal Neural Plate,Anterior Ventral Neural Plate
100064,320092,330103,330104,23,a7.0009*,Anterior Ventral Neural Plate,Anterior + Dorsal Neural Plate,Anterior Ventral Neural Plate
110025,330032,340034,340035,23,b7.0014*,0,0,Tail Epidermis
110026,330034,340036,340037,23,b7.0013*,0,0,Tail Epidermis
110034,330042,340045,340046,23,b7.0016*,0,0,0
