Beginning CellID,Mother_CellID,Child1_CellID,Child2_CellID,Life of mother in t,the name of the Beginning cell,fate 1 of the Beginning cell,fate 2 of the Beginning cell,fate 3 of the Begining cell
40002,250002,260002,260003,22,a7.0003*,"1st Lineage, Notochord",Mesoderm 1 Notochord,"1st Lineage, Notochord"
40003,250003,260004,260005,22,a7.0003_,"1st Lineage, Notochord",Mesoderm 1 Notochord,"1st Lineage, Notochord"
40004,590168,600172,600173,56,a7.0001_,Anterior Head Endoderm,Anterior Endoderm,Head Endoderm
40005,230006,240007,240008,20,a7.0004_,Posterior Ventral Neural Plate,Posterior ventral Neural Plate,Posterior Ventral Neural Plate
40006,220007,230007,230008,19,a7.0004*,Posterior Ventral Neural Plate,Posterior ventral Neural Plate,Posterior Ventral Neural Plate
40007,220008,230009,230010,19,a7.0007*,"1st Lineage, Notochord",Mesoderm 1 Notochord,"1st Lineage, Notochord"
40008,70010,80010,80011,4,a6.0005*,Anterior Ventral Neural Plate,0,Anterior Ventral Neural Plate
40009,100012,110012,110013,7,a6.0005_,Anterior Ventral Neural Plate,0,Anterior Ventral Neural Plate
40010,250016,260018,260019,22,a7.0007_,"1st Lineage, Notochord",Mesoderm 1 Notochord,"1st Lineage, Notochord"
40011,270074,280019,280073,24,a7.0008*,0,0,0
40012,530024,540024,540025,50,a7.0005_,Anterior Head Endoderm,Anterior Endoderm,Head Endoderm
40013,210017,220016,220017,18,a7.0008_,0,0,0
40014,350028,360027,360029,32,a7.0006_,Trunk Lateral Cell,Mesoderm Trunk Lateral Cell,Trunk Lateral Cell
40015,70018,80019,80020,4,a6.0007*,0,0,0
40016,110022,120022,120023,8,a6.0006_,Head Epidermis,0,Head Epidermis
40017,530122,540126,540131,50,b7.0001_,Posterior Head Endoderm,Posterior Endoderm,Head Endoderm
40018,500038,510037,510038,47,b7.0002_,0,Posterior Endoderm,0
40019,110025,120026,120027,8,a6.0007_,0,0,0
40020,90026,100025,100026,6,a6.0008*,Head Epidermis,0,Head Epidermis
40021,80026,90027,90028,5,b6.0005_,0,0,0
40022,230033,240035,240036,20,b7.0003_,0,0,0
40023,130033,140033,140034,10,a6.0008_,Head Epidermis,0,Head Epidermis
40024,70027,80029,80030,4,b6.0008*,0,0,0
40025,60027,70028,70029,3,b6.0006*,0,0,0
40026,80034,90036,90037,5,b6.0008_,0,0,0
40027,90038,100073,100075,6,b6.0006_,0,0,0
40028,220042,230044,230045,19,b7.0004_,"1st Lineage, Tail Muscle",Mesoderm First Muscle,"1st Lineage, Tail Muscle"
40029,40029,50030,50031,1,b6.0004_,0,0,0
40030,80039,90042,90043,5,b6.0007_,0,0,0
40031,60034,70036,70037,3,b6.0007*,0,0,0
40032,100047,110046,110047,7,b6.0003*,0,0,0
40033,70039,80044,80045,4,b6.0003_,0,0,0
40034,540142,550123,550139,51,a7.0002*,Anterior Head Endoderm,Anterior Endoderm,Head Endoderm
40035,40035,50048,50049,1,b6.0004*,0,0,0
40037,500160,510138,510166,47,a7.0005*,Anterior Head Endoderm,Anterior Endoderm,Head Endoderm
40038,370113,380109,380110,34,a7.0006*,Trunk Lateral Cell,Mesoderm Trunk Lateral Cell,Trunk Lateral Cell
40039,550135,560145,560146,52,a7.0001*,Anterior Head Endoderm,Anterior Endoderm,Head Endoderm
40040,90068,100071,100076,6,a6.0006*,Head Epidermis,0,Head Epidermis
40042,40042,50050,50051,1,b6.0001*,0,0,0
40043,50042,60042,60043,2,b6.0005*,0,0,0
40044,240108,0,0,21,b7.0003*,0,0,0
40045,220058,230100,230101,19,b7.0004*,"1st Lineage, Tail Muscle",Mesoderm First Muscle,"1st Lineage, Tail Muscle"
40046,510006,520006,520007,48,a7.0002_,Anterior Head Endoderm,Anterior Endoderm,Head Endoderm
50030,560133,0,0,52,b7.0007_,Mesenchyme,Mesoderm Mesenchyme,Mesenchyme
50031,320057,330061,330062,28,b7.0008_,"1st Lineage, Tail Muscle",Mesoderm First Muscle,"1st Lineage, Tail Muscle"
50048,590178,600182,600196,55,b7.0007*,Mesenchyme,Mesoderm Mesenchyme,Mesenchyme
50049,300073,310072,310073,26,b7.0008*,"1st Lineage, Tail Muscle",Mesoderm First Muscle,"1st Lineage, Tail Muscle"
50050,480087,490087,490088,44,b7.0002*,0,Posterior Endoderm,0
50051,560150,570164,570185,52,b7.0001*,Posterior Head Endoderm,Posterior Endoderm,Head Endoderm
60042,290063,300065,300066,24,b7.0010*,0,0,0
60043,290064,300067,300068,24,b7.0009*,0,0,0
70028,290044,300117,300118,23,b7.0012*,0,0,Tail Epidermis
70029,290045,300045,300100,23,b7.0011*,0,0,Tail Epidermis
70036,290053,300053,300054,23,b7.0013*,0,0,Tail Epidermis
70037,310056,320138,320139,25,b7.0014*,0,0,Tail Epidermis
80010,310014,320014,320015,24,a7.0010*,Anterior Ventral Neural Plate,Anterior + Dorsal Neural Plate,Anterior Ventral Neural Plate
80011,310015,320016,320017,24,a7.0009*,Anterior Ventral Neural Plate,Anterior + Dorsal Neural Plate,Anterior Ventral Neural Plate
80019,300025,310025,310026,23,a7.0013*,Anterior Dorsal Neural Plate,Lateral Neural Plate,Anterior Dorsal Neural Plate
80020,310027,320029,320030,24,a7.0014*,Head Epidermis,Trunk Epidermis,Head Epidermis
80029,310043,320048,320049,24,b7.0016*,0,0,0
80030,310044,320050,320051,24,b7.0015*,Lateral Tail Epidermis,0,Tail Epidermis
80044,560098,570104,570105,49,b7.0005_,Trunk Ventral Cell,Mesoderm Trunk ventral Cell,Trunk Ventral Cell
80045,820141,0,0,75,b7.0006_,Germ Line,germ line,Germ Line
90027,320041,330041,330042,24,b7.0010_,0,0,0
90028,310038,320042,320043,23,b7.0009_,0,0,0
90036,320053,330055,330056,24,b7.0015_,Lateral Tail Epidermis,0,Tail Epidermis
90037,320054,330057,330058,24,b7.0016_,0,0,0
90042,300051,310051,310052,22,b7.0013_,0,0,Tail Epidermis
90043,310053,320060,320061,23,b7.0014_,0,0,Tail Epidermis
100025,340041,350046,350047,25,a7.0016*,Head Epidermis,Trunk Epidermis,Head Epidermis
100026,330040,340042,340043,24,a7.0015*,Head Epidermis,Trunk Epidermis,Head Epidermis
100071,320090,330095,330096,23,a7.0012*,Head Epidermis,Trunk Epidermis,Head Epidermis
100073,330092,340095,340096,24,b7.0012_,0,0,Tail Epidermis
100075,320089,330093,330094,23,b7.0011_,0,0,Tail Epidermis
100076,390125,400119,400141,30,a7.0011*,Head Epidermis,Trunk Epidermis,Head Epidermis
110012,340018,350018,350019,24,a7.0010_,Anterior Ventral Neural Plate,Anterior + Dorsal Neural Plate,Anterior Ventral Neural Plate
110013,340019,350020,350021,24,a7.0009_,Anterior Ventral Neural Plate,Anterior + Dorsal Neural Plate,Anterior Ventral Neural Plate
110046,580105,590106,590107,48,b7.0005*,Trunk Ventral Cell,Mesoderm Trunk ventral Cell,Trunk Ventral Cell
110047,820138,0,0,72,b7.0006*,Germ Line,germ line,Germ Line
120022,340032,350035,350036,23,a7.0011_,Head Epidermis,Trunk Epidermis,Head Epidermis
120023,350037,360036,360037,24,a7.0012_,Head Epidermis,Trunk Epidermis,Head Epidermis
120026,330037,340038,340039,22,a7.0013_,Anterior Dorsal Neural Plate,Lateral Neural Plate,Anterior Dorsal Neural Plate
120027,350045,360043,360044,24,a7.0014_,Head Epidermis,Trunk Epidermis,Head Epidermis
140033,360056,370055,370056,23,a7.0015_,Head Epidermis,Trunk Epidermis,Head Epidermis
140034,360057,370057,370058,23,a7.0016_,Head Epidermis,Trunk Epidermis,Head Epidermis
220016,550028,560030,560031,34,a8.0015_,Posterior Lateral Neural Plate,Lateral Neural Plate,Posterior Lateral Neural Plate
220017,540027,550029,550030,33,a8.0016_,0,0,0
230007,550011,560012,560013,33,a8.0007*,Posterior Ventral Neural Plate,Posterior ventral Neural Plate,Posterior Ventral Neural Plate
230008,540145,550138,550142,32,a8.0008*,Posterior Ventral Neural Plate,Posterior ventral Neural Plate,Posterior Ventral Neural Plate
230009,670014,680015,680016,45,a8.0013*,"1st Lineage, Notochord",Mesoderm 1 Notochord,"1st Lineage, Notochord"
230010,690017,700018,700019,47,a8.0014*,"1st Lineage, Notochord",Mesoderm 1 Notochord,"1st Lineage, Notochord"
230044,450066,460067,460068,23,b8.0008_,"1st Lineage, Tail Muscle",Mesoderm First Muscle,"1st Lineage, Tail Muscle"
230045,450067,460069,460070,23,b8.0007_,"1st Lineage, Tail Muscle",Mesoderm First Muscle,"1st Lineage, Tail Muscle"
230100,440095,450093,450094,22,b8.0008*,"1st Lineage, Tail Muscle",Mesoderm First Muscle,"1st Lineage, Tail Muscle"
230101,470111,0,0,25,b8.0007*,"1st Lineage, Tail Muscle",Mesoderm First Muscle,"1st Lineage, Tail Muscle"
240007,540008,550008,550009,31,a8.0007_,Posterior Ventral Neural Plate,Posterior ventral Neural Plate,Posterior Ventral Neural Plate
240008,550010,560010,560011,32,a8.0008_,Posterior Ventral Neural Plate,Posterior ventral Neural Plate,Posterior Ventral Neural Plate
240035,660188,670192,670193,43,b8.0006_,"2nd Lineage, Notochord",Mesoderm 2 Notochord,"2nd Lineage, Notochord"
240036,540051,550054,550055,31,b8.0005_,Mesenchyme,Mesoderm Mesenchyme,Mesenchyme
260002,700002,710002,710003,45,a8.0005*,"1st Lineage, Notochord",Mesoderm 1 Notochord,"1st Lineage, Notochord"
260003,720004,730004,730005,47,a8.0006*,"1st Lineage, Notochord",Mesoderm 1 Notochord,"1st Lineage, Notochord"
260004,720006,730007,730008,47,a8.0005_,"1st Lineage, Notochord",Mesoderm 1 Notochord,"1st Lineage, Notochord"
260005,750009,760009,760010,50,a8.0006_,"1st Lineage, Notochord",Mesoderm 1 Notochord,"1st Lineage, Notochord"
260018,720039,730040,730041,47,a8.0013_,"1st Lineage, Notochord",Mesoderm 1 Notochord,"1st Lineage, Notochord"
260019,720041,730043,730044,47,a8.0014_,"1st Lineage, Notochord",Mesoderm 1 Notochord,"1st Lineage, Notochord"
280019,540023,550024,550025,27,a8.0015*,Posterior Lateral Neural Plate,Lateral Neural Plate,Posterior Lateral Neural Plate
280073,540098,550105,550106,27,a8.0016*,0,0,0
300045,520061,530060,530061,23,b8.0022*,0,0,Tail Epidermis
300053,530075,540076,540077,24,b8.0026*,Lateral Tail Epidermis,Lateral Tail Epidermis,Tail Epidermis
300054,530076,540078,540079,24,b8.0025*,0,0,Tail Epidermis
300065,610121,620122,620123,32,b8.0020*,Midline Tail Epidermis,Midline Tail Epidermis,Tail Epidermis
300066,710141,720141,720142,42,b8.0019*,Posterior Dorsal Neural Plate,Anterior + Dorsal Neural Plate,Posterior Dorsal Neural Plate
300067,710142,720143,720144,42,b8.0017*,0,0,0
300068,640127,650125,650187,35,b8.0018*,Midline Tail Epidermis,Midline Tail Epidermis,Tail Epidermis
300100,540179,550149,550173,25,b8.0021*,0,0,Tail Epidermis
300117,520103,530101,530102,23,b8.0024*,0,Mediolateral Tail Epidermis,Tail Epidermis
300118,530103,540108,540109,24,b8.0023*,Medio-Lateral Tail Epidermis,0,Tail Epidermis
310025,650037,660039,660040,35,a8.0026*,Anterior Dorsal Neural Plate,Lateral Neural Plate,Anterior Dorsal Neural Plate
310026,660041,670044,670045,36,a8.0025*,Anterior Dorsal Neural Plate,Lateral Neural Plate,Anterior Dorsal Neural Plate
310051,540073,550080,550081,24,b8.0026_,Lateral Tail Epidermis,Lateral Tail Epidermis,Tail Epidermis
310052,560139,570204,570205,26,b8.0025_,0,0,Tail Epidermis
310072,820183,0,0,52,b8.0015*,"1st Lineage, Tail Muscle",Mesoderm First Muscle,"1st Lineage, Tail Muscle"
310073,820149,0,0,52,b8.0016*,"1st Lineage, Tail Muscle",Mesoderm First Muscle,"1st Lineage, Tail Muscle"
320014,660016,670017,670018,35,a8.0019*,Anterior Ventral Neural Plate,Anterior + Dorsal Neural Plate,Anterior Ventral Neural Plate
320015,660018,670020,670021,35,a8.0020*,Anterior Ventral Neural Plate,Anterior + Dorsal Neural Plate,Anterior Ventral Neural Plate
320016,670022,680024,680025,36,a8.0017*,Anterior Ventral Neural Plate,Anterior + Dorsal Neural Plate,Anterior Ventral Neural Plate
320017,670023,680026,680027,36,a8.0018*,Anterior Ventral Neural Plate,Anterior + Dorsal Neural Plate,Anterior Ventral Neural Plate
320029,560038,570039,570040,25,a8.0027*,Head Epidermis,Trunk Epidermis,Head Epidermis
320030,550036,560039,560040,24,a8.0028*,Head Epidermis,Trunk Epidermis,Head Epidermis
320042,790215,800214,800215,48,b8.0017_,0,0,0
320043,600067,610068,610069,29,b8.0018_,Midline Tail Epidermis,Midline Tail Epidermis,Tail Epidermis
320048,540057,550061,550062,23,b8.0031*,0,0,0
320049,540058,550063,550064,23,b8.0032*,0,0,0
320050,550065,560069,560070,24,b8.0030*,Lateral Tail Epidermis,Lateral Tail Epidermis,Tail Epidermis
320051,540060,550066,550067,23,b8.0029*,Lateral Tail Epidermis,Lateral Tail Epidermis,Tail Epidermis
320060,560089,570094,570095,25,b8.0028_,0,0,Tail Epidermis
320061,550083,560090,560091,24,b8.0027_,Midline Tail Epidermis,Midline Tail Epidermis,Tail Epidermis
